,League,Team,Week,Time,Name,PlayerPos,ActivePos,RealScore,ProjScore,PctPlayed
307,910981,9,2,0,Pittsburgh,DEF,DEF,1.0,6.48,45.0
308,910981,4,2,0,Kirk Cousins,QB,QB,36.5,18.38,71.0
309,910981,4,2,0,Julio Jones,WR,WR,6.4,12.34,100.0
310,910981,4,2,0,T.Y. Hilton,WR,WR,14.3,10.26,95.0
311,910981,4,2,0,Robert Woods,WR,WR,8.1,8.51,42.0
312,910981,4,2,0,Saquon Barkley,RB,RB,10.8,15.88,99.0
313,910981,4,2,0,LeSean McCoy,RB,RB,6.8,10.04,60.0
314,910981,4,2,0,Jordan Reed,TE,TE,3.5,7.51,79.0
315,910981,4,2,0,Alfred Morris,RB,W/R/T,8.0,9.48,20.0
316,910981,4,2,0,Greg Olsen,TE,BN,0.0,0.0,9.0
317,910981,4,2,0,Pierre Garcon,WR,BN,5.7,8.28,24.0
318,910981,4,2,0,Cooper Kupp,WR,BN,6.3,7.67,41.0
319,910981,4,2,0,Aaron Jones,RB,BN,0.0,0.0,0.0
320,910981,4,2,0,Stephen Gostkowski,K,K,9.0,9.28,97.0
321,910981,4,2,0,Baltimore,DEF,DEF,-1.0,6.72,76.0
322,910981,8,2,0,Aaron Rodgers,QB,QB,16.04,19.16,71.0
323,910981,8,2,0,Devin Funchess,WR,WR,7.7,8.26,37.0
324,910981,8,2,0,Robby Anderson,WR,WR,0.7,7.72,25.0
325,910981,8,2,0,Randall Cobb,WR,WR,3.0,7.91,38.0
326,910981,8,2,0,Kareem Hunt,RB,RB,14.0,14.19,98.0
327,910981,8,2,0,Melvin Gordon III,RB,RB,24.6,15.74,99.0
328,910981,8,2,0,Evan Engram,TE,TE,12.7,7.09,75.0
329,910981,8,2,0,Chris Thompson,RB,W/R/T,9.3,10.16,66.0
330,910981,8,2,0,Peyton Barber,RB,BN,2.9,9.91,17.0
331,910981,8,2,0,Josh Gordon,WR,BN,0.0,0.0,11.0
332,910981,8,2,0,Tevin Coleman,RB,BN,14.5,12.59,59.0
333,910981,8,2,0,Dak Prescott,QB,BN,14.9,16.74,8.0
334,910981,8,2,0,Greg Zuerlein,K,K,0.0,11.83,99.0
335,910981,8,2,0,New Orleans,DEF,DEF,6.0,6.83,40.0
336,910981,5,2,0,Tom Brady,QB,QB,16.36,18.77,86.0
337,910981,5,2,0,DeAndre Hopkins,WR,WR,19.0,12.22,98.0
338,910981,5,2,0,Golden Tate,WR,WR,13.8,9.33,86.0
339,910981,5,2,0,Emmanuel Sanders,WR,WR,9.6,9.42,78.0
340,910981,5,2,0,Jordan Howard,RB,RB,6.8,13.03,94.0
341,910981,5,2,0,Lamar Miller,RB,RB,7.0,11.3,80.0
342,910981,5,2,0,Rob Gronkowski,TE,TE,1.5,9.9,100.0
343,910981,5,2,0,Matt Breida,RB,W/R/T,23.9,9.58,25.0
344,910981,5,2,0,Sterling Shepard,WR,BN,2.4,7.47,14.0
345,910981,5,2,0,Julian Edelman,WR,BN,0.0,0.0,0.0
346,910981,5,2,0,Sony Michel,RB,BN,4.1,6.98,4.0
347,910981,5,2,0,Will Fuller V,WR,BN,19.3,8.42,24.0
348,910981,5,2,0,Daniel Carlson,K,K,3.0,0.0,47.0
349,910981,5,2,0,Dallas,DEF,DEF,12.0,7.69,11.0
350,910981,3,2,0,Russell Wilson,QB,QB,15.74,18.03,79.0
351,910981,3,2,0,Tyreek Hill,WR,WR,15.0,12.34,99.0
352,910981,3,2,0,JuJu Smith-Schuster,WR,WR,20.1,9.7,94.0
353,910981,3,2,0,Kenny Golladay,WR,WR,14.9,7.62,20.0
354,910981,3,2,0,Alvin Kamara,RB,RB,11.9,18.92,100.0
355,910981,3,2,0,Jay Ajayi,RB,RB,8.7,12.29,92.0
356,910981,3,2,0,Kyle Rudolph,TE,TE,7.2,6.78,75.0
357,910981,3,2,0,Adrian Peterson,RB,W/R/T,5.0,12.06,79.0
358,910981,3,2,0,Leonard Fournette,RB,BN,0.0,0.0,22.0
359,910981,3,2,0,Rashaad Penny,RB,BN,3.0,6.93,7.0
360,910981,3,2,0,Tarik Cohen,RB,BN,2.5,8.6,23.0
361,910981,3,2,0,Phillip Dorsett,WR,BN,4.4,7.04,5.0
362,910981,3,2,0,Alshon Jeffery,WR,IR,0.0,0.0,2.0
363,910981,3,2,0,Wil Lutz,K,K,8.0,10.95,92.0
